year,month,option,A*,A,B,C,D,E,F,G
2022,m,CY,125,106,87,69,60,52,43,34
2021,w,CX,120,103,86,69,59,50,41,32
2021,w,CY,132,112,92,73,64,55,46,37
2021,w,CZ,126,109,92,75,64,53,42,31
2021,s,CX,109,93,77,62,55,49,43,37
2021,s,CY,130,111,92,74,63,52,41,30
2021,s,CZ,127,108,89,71,60,49,38,27
2021,m,CY,130,110,90,71,61,52,44,36
2020,w,CX,132,114,96,79,67,56,45,34
2020,w,CY,131,112,93,75,64,54,44,34
2020,w,CZ,135,117,99,81,70,59,48,37
2020,m,CY,159,138,117,97,82,68,55,42
2019,w,CX,150,130,110,90,77,64,51,38
2019,w,CY,150,129,108,87,76,65,54,43
2019,w,CZ,141,121,101,81,69,58,48,38
2019,s,CX,133,111,89,68,60,52,42,32
2019,s,CY,154,131,108,86,73,61,50,39
2019,s,CZ,148,129,110,91,78,65,54,43
2019,m,CY,146,128,110,93,80,67,54,41